pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
January,rainy,fall,day,manhattan,,,,,,0
January,rainy,fall,day,not manhattan,,,,,,0
January,rainy,fall,night,manhattan,,,,,,0
January,rainy,fall,night,not manhattan,,,,,,0
January,rainy,spring,day,manhattan,,,,,,0
January,rainy,spring,day,not manhattan,,,,,,0
January,rainy,spring,night,manhattan,,,,,,0
January,rainy,spring,night,not manhattan,,,,,,0
January,rainy,summer,day,manhattan,,,,,,0
January,rainy,summer,day,not manhattan,,,,,,0
January,rainy,summer,night,manhattan,,,,,,0
January,rainy,summer,night,not manhattan,,,,,,0
January,rainy,winter,day,manhattan,2.2458559684931076,10.36747698715344,2.0288847951114306,15.94621456256056,690.753555465258,255944
January,rainy,winter,day,not manhattan,9.78132117450745,30.20940776954829,4.901425685763634,40.83816066044088,1473.6010421850756,34159
January,rainy,winter,night,manhattan,2.654426481550503,10.8562469716735,2.1948665206857996,16.91641166604547,657.8586237420798,42928
January,rainy,winter,night,not manhattan,11.201330528530109,33.00439915855903,5.51338679989482,43.9008453852222,1347.5118327636076,7606
January,sunny,fall,day,manhattan,,,,,,0
January,sunny,fall,day,not manhattan,,,,,,0
January,sunny,fall,night,manhattan,,,,,,0
January,sunny,fall,night,not manhattan,,,,,,0
January,sunny,spring,day,manhattan,,,,,,0
January,sunny,spring,day,not manhattan,,,,,,0
January,sunny,spring,night,manhattan,,,,,,0
January,sunny,spring,night,not manhattan,,,,,,0
January,sunny,summer,day,manhattan,,,,,,0
January,sunny,summer,day,not manhattan,,,,,,0
January,sunny,summer,night,manhattan,,,,,,0
January,sunny,summer,night,not manhattan,,,,,,0
January,sunny,winter,day,manhattan,2.198462521109381,10.218466086717267,2.0620912360446457,15.937805052494452,687.4441097982624,1424722
January,sunny,winter,day,not manhattan,9.257542344580305,28.78623928569336,4.732362742628147,39.3684383916383,1434.303750227029,170683
January,sunny,winter,night,manhattan,2.651727737657427,10.733783522260117,2.1969779432062047,16.772196834103585,635.4937474584673,336903
January,sunny,winter,night,not manhattan,10.362696543866312,30.75561982529434,4.996347132548424,41.053795860235475,1222.1691796429927,52660
February,rainy,fall,day,manhattan,,,,,,0
February,rainy,fall,day,not manhattan,,,,,,0
February,rainy,fall,night,manhattan,,,,,,0
February,rainy,fall,night,not manhattan,,,,,,0
February,rainy,spring,day,manhattan,,,,,,0
February,rainy,spring,day,not manhattan,,,,,,0
February,rainy,spring,night,manhattan,,,,,,0
February,rainy,spring,night,not manhattan,,,,,,0
February,rainy,summer,day,manhattan,,,,,,0
February,rainy,summer,day,not manhattan,,,,,,0
February,rainy,summer,night,manhattan,,,,,,0
February,rainy,summer,night,not manhattan,,,,,,0
February,rainy,winter,day,manhattan,2.1881766867275476,10.595916072672098,2.158216289510783,16.41425012313946,755.174758958042,353258
February,rainy,winter,day,not manhattan,9.134461591304989,28.829116514144115,4.8612404622292,39.70265904462818,1660.1670060600113,40759
February,rainy,winter,night,manhattan,2.794055387061629,11.222906127616971,2.292797768028032,17.400600394570244,678.002679544183,67922
February,rainy,winter,night,not manhattan,9.84165053963528,29.437430219575734,5.1605182359508746,40.1869240788984,1289.6085783401563,10748
February,sunny,fall,day,manhattan,,,,,,0
February,sunny,fall,day,not manhattan,,,,,,0
February,sunny,fall,night,manhattan,,,,,,0
February,sunny,fall,night,not manhattan,,,,,,0
February,sunny,spring,day,manhattan,,,,,,0
February,sunny,spring,day,not manhattan,,,,,,0
February,sunny,spring,night,manhattan,,,,,,0
February,sunny,spring,night,not manhattan,,,,,,0
February,sunny,summer,day,manhattan,,,,,,0
February,sunny,summer,day,not manhattan,,,,,,0
February,sunny,summer,night,manhattan,,,,,,0
February,sunny,summer,night,not manhattan,,,,,,0
February,sunny,winter,day,manhattan,2.2721204078893256,10.917411580972603,2.1952359424120194,16.79003831394141,775.2148602439074,1631521
February,sunny,winter,day,not manhattan,9.077414846566613,28.877279387104892,4.936106523015008,39.83192300033537,1643.2951863419132,190832
February,sunny,winter,night,manhattan,2.7033613315780416,11.185419649582373,2.3093699947922373,17.355684127945572,696.7677158930643,447409
February,sunny,winter,night,not manhattan,9.716473526813022,29.279151770543056,5.010236695439407,39.57768622986474,1227.8382722762183,58852
March,rainy,fall,day,manhattan,,,,,,0
March,rainy,fall,day,not manhattan,,,,,,0
March,rainy,fall,night,manhattan,,,,,,0
March,rainy,fall,night,not manhattan,,,,,,0
