FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_187744723e7_7c86,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,40971,"4,0",47900,53700,15680,"3,1",16200,19100,,,,,,,,,,,20220922,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0m4ck4EXdW.pdf,4,3.0999999,873,"2,13",,,116,1,POINT (12.565491397230991 55.677960848602766)
trafiktaelling.fid--38345ac2_187744723e7_7c87,3,Bredgade,nord for Kongens Nytorv,4,3,Andre faste tællinger,10537,"2,2",12300,13800,5630,"4,5",5800,6900,,,,,,,,,,,20220927,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/68Ce1esQPo.pdf,2.20000005,4.5,188,"1,78",,,23,2,POINT (12.587600106423729 55.681163602385205)
trafiktaelling.fid--38345ac2_187744723e7_7c88,4,Christian d. IV's Bro,syd for Niels Juels Gade,,3,Andre faste tællinger,12145,"0,1",14200,15900,6902,"3,1",7100,8400,,,,,,,,,,,20210615,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3vcSNr6Hvu.pdf,0.1,3.0999999,18,"0,15",,,18,3,POINT (12.587161874224895 55.67576459605933)
trafiktaelling.fid--38345ac2_187744723e7_7c89,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4150,"12,1",4900,5400,30310,"5,0",31200,37000,,,,,,,,,,,20220915,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/hqicQqiuBo.pdf,12.10000038,5,63,,99,"0,3",,4,POINT (12.563772380225611 55.686726138477155)
trafiktaelling.fid--38345ac2_187744723e7_7c8a,6,Kampmannsgade,ud for søerne,,2,Søsnittet,3537,"2,8",4100,4600,8767,"3,2",9000,10700,,,,,,,,,,,20220906,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/t3T9dWRc4w.pdf,2.79999995,3.20000005,40,"1,13",,,9,5,POINT (12.557917540101617 55.67797681383058)
trafiktaelling.fid--38345ac2_187744723e7_7c8b,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,28540,"2,5",33400,37400,4155,"4,3",4300,5100,,,,,,,,,,,20210601,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/2nSOUbkSRS.pdf,2.5,4.30000019,617,"2,16",,,49,6,POINT (12.510990440718215 55.650502831976276)
trafiktaelling.fid--38345ac2_187744723e7_7c8c,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,10941,"1,7",12800,14300,2308,"7,7",2400,2800,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/xvZV289nK9.pdf,1.70000005,7.69999981,137,"1,25",,,9,7,POINT (12.59984563626354 55.63848509063262)
trafiktaelling.fid--38345ac2_187744723e7_7c8d,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,,8,POINT (12.572503733886565 55.67597245960375)
trafiktaelling.fid--38345ac2_187744723e7_7c8e,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,,9,POINT (12.572683528145085 55.68321134228041)
trafiktaelling.fid--38345ac2_187744723e7_7c8f,12,Frederiksborggade,sydøst for Søtorvet,50,3,Andre faste tællinger,3440,"14,7",4000,4500,16316,"3,3",16800,19900,,,,,,,,,,,20200923,2020,http://kk.sites.itera.dk/apps/kk_trafik/pdf/39CXIJZSt7.pdf,14.69999981,3.29999995,76,"2,21",,,11,10,POINT (12.566369474794927 55.685708418286204)
trafiktaelling.fid--38345ac2_187744723e7_7c90,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,10543,"4,8",12300,13800,5481,"4,0",5600,6700,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ISturDWHC9.pdf,4.80000019,4,104,"0,98",,,22,11,POINT (12.525153439020631 55.72710588532446)
trafiktaelling.fid--38345ac2_187744723e7_7c91,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,15480,"3,7",18100,20300,3627,"4,0",3700,4400,,,,,,,,,,,20220510,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/viEgPGnTsf.pdf,3.70000005,4,277,"1,78",,,21,12,POINT (12.467131018190685 55.713361816298715)
trafiktaelling.fid--38345ac2_187744723e7_7c92,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12353,"4,8",14500,16200,3874,"3,8",4000,4700,,,,,,,,,,,20220504,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/qf3FhnIM89.pdf,4.80000019,3.79999995,212,"1,71",,,42,13,POINT (12.501067806935959 55.642414797211806)
trafiktaelling.fid--38345ac2_187744723e7_7c93,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3659,"4,7",4300,4800,12222,"2,6",12600,14900,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/y87joygBU8.pdf,4.69999981,2.5999999,53,"4,7",111,"0,9",18,14,POINT (12.566545050457883 55.68641228608008)
trafiktaelling.fid--38345ac2_187744723e7_7c94,18,Grøndals Parkvej,nord for Peter Bangs Vej,,3,Andre faste tællinger,13759,"3,2",16100,18000,2186,"4,1",2300,2700,,,,,,,,,,,20210602,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/FvBclB4gxH.pdf,3.20000005,4.0999999,179,"1,30",,,19,15,POINT (12.487389543509753 55.67777162433822)
trafiktaelling.fid--38345ac2_187744723e7_7c95,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,39917,"2,9",46700,52300,24305,"3,8",25000,29700,,,,,,,,,,,20220917,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cWBPUWSEDW.pdf,2.9000001,3.79999995,599,"1,5",,,127,16,POINT (12.558879052393788 55.68162962198664)
trafiktaelling.fid--38345ac2_187744723e7_7c96,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,47495,"1,6",55600,62200,4865,"2,8",5000,5900,,,,,,,,,,,20220601,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/41Fd2pHTBF.pdf,1.60000002,2.79999995,458,"0,96",,,167,17,POINT (12.50390557494531 55.71341711589515)
trafiktaelling.fid--38345ac2_187744723e7_7c97,21,Hillerødgade,vest for Borups Allé,112,3,Andre faste tællinger,14667,"2,8",17200,19200,4410,"5,7",4500,5400,,,,,,,,,,,20220621,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/A9d8PMPyfC.pdf,2.79999995,5.69999981,286,"1,94",,,36,18,POINT (12.524881062593547 55.69669617851435)
trafiktaelling.fid--38345ac2_187744723e7_7c98,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,15373,"2,2",18000,20100,14975,"3,1",15400,18300,,,,,,,,,,,20200930,2020,https://kk.sites.itera.dk/apps/kk_trafik/pdf/mdDvnOPvRG.pdf,2.20000005,3.0999999,215,"1,40",,,9,19,POINT (12.548166594681598 55.69376045384262)
trafiktaelling.fid--38345ac2_187744723e7_7c99,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,28690,"2,9",33600,37600,1641,"3,4",1700,2000,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wtN2YLq6Xi.pdf,2.9000001,3.4000001,541,"1,88",,,49,20,POINT (12.468280663263842 55.691490760831755)
trafiktaelling.fid--38345ac2_187744723e7_7c9a,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,31121,"4,3",36400,40800,4060,"3,4",4200,5000,,,,,,,,,,,20210916,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/K06xO6InTA.pdf,4.30000019,3.4000001,855,"2,75",,,270,21,POINT (12.569969800636592 55.66710839094161)
trafiktaelling.fid--38345ac2_187744723e7_7c9b,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19282,"5,0",22600,25300,21470,"3,9",22100,26200,,,,,,,,,,,20220908,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/D0SuXT2ThT.pdf,5,3.9000001,486,"2,52",,,100,22,POINT (12.586998878059134 55.67489294070495)
