PULocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
1,rainy,fall,day,not manhattan,173.78,1754.83,180.34,2073.87,523.4166666666666,139.7479855468144,168.45727409964928,19
1,rainy,fall,night,not manhattan,6.5,88.5,0.0,89.6,15.216666666666669,5.668340038024376,0.0,2
1,rainy,spring,day,not manhattan,124.94,1231.73,173.63,1570.98,303.21666666666664,115.3475168179771,169.49200541228504,17
1,rainy,spring,night,not manhattan,32.53,110.5,17.04,143.89,75.93333333333334,4.625284912829292,23.07692307692308,2
1,rainy,summer,day,not manhattan,222.13,1535.95,193.17,1994.71,529.25,78.1344306468353,163.95780698262064,21
1,rainy,summer,night,not manhattan,15.58,59.0,22.66,98.21,22.0,1.4120667522464698,23.073006822115875,1
1,rainy,winter,day,not manhattan,180.68,1483.3,114.4,1775.1,402.41666666666663,121.6302336470043,130.21675599410398,18
1,rainy,winter,night,not manhattan,18.430000000000003,164.0,0.0,179.85,44.03333333333333,13.645747953077215,0.0,2
1,sunny,fall,day,not manhattan,881.45,6576.59,805.91,8415.75,2178.45,466.43793330741346,695.3025892040747,79
1,sunny,fall,night,not manhattan,64.18,559.5,60.27,701.4200000000001,144.86666666666667,23.48280004224613,76.40806606965845,7
1,sunny,spring,day,not manhattan,911.8,8429.34,929.83,10494.36,2578.2999999999997,849.8251091088315,849.3376117543196,108
1,sunny,spring,night,not manhattan,85.6,741.2,92.24,930.34,202.2,50.205955330884926,106.653612798761,11
1,sunny,summer,day,not manhattan,972.74,8614.56,1209.93,11110.97,2302.0666666666666,653.7173713951398,946.9353885536937,98
1,sunny,summer,night,not manhattan,178.39000000000001,1017.8,143.84,1265.69,285.3833333333333,75.94707850423131,133.71802684667887,13
1,sunny,winter,day,not manhattan,374.88,3407.32,396.33,4246.23,901.6166666666667,388.8138866466146,419.5631581844702,40
1,sunny,winter,night,not manhattan,125.60000000000001,711.7,72.50999999999999,826.56,226.71666666666667,13.807474563099642,67.17271163969072,7
2,rainy,summer,day,not manhattan,3.93,12.5,0.0,13.3,6.666666666666667,1.6963528413910094,0.0,1
2,rainy,winter,day,not manhattan,18.8,52.0,8.0,69.85,34.68333333333333,1.8448581560283688,11.453113815318542,1
2,sunny,fall,day,not manhattan,60.56,144.0,36.75,214.1,121.66666666666666,8.933812217100378,73.56574211939045,4
2,sunny,spring,day,not manhattan,124.80000000000001,395.5,62.6,507.45000000000005,324.7,18.28780322349273,78.0440288356272,7
2,sunny,spring,night,not manhattan,26.8,72.5,15.35,99.0,46.13333333333333,3.7810945273631837,28.740979045300406,2
2,sunny,summer,day,not manhattan,80.2,227.0,30.7,289.35,253.86666666666667,15.657027685024289,54.48982313106588,5
2,sunny,summer,night,not manhattan,37.43,104.0,24.74,148.44,73.41666666666666,3.91805464635698,33.33333333333333,2
2,sunny,winter,day,not manhattan,73.29,207.8,61.86,311.01,217.1,17.916348936834446,92.16308518912639,5
2,sunny,winter,night,not manhattan,17.7,52.0,11.05,66.35,32.05,1.810734463276836,16.654107008289376,1
3,rainy,fall,day,not manhattan,7.23,27.5,3.0,32.9,21.933333333333334,17.884787227584532,36.14457831325301,3
