pickup_at,weather,season,time,pickup_area,duration
Monday,rainy,fall,day,manhattan,807.8155583194061
Monday,rainy,fall,day,not manhattan,1973.9799797854143
Monday,rainy,fall,night,manhattan,724.5222315757251
Monday,rainy,fall,night,not manhattan,1412.6953155680224
Monday,rainy,spring,day,manhattan,781.0922791522335
Monday,rainy,spring,day,not manhattan,1783.4460622807949
Monday,rainy,spring,night,manhattan,662.5735892014961
Monday,rainy,spring,night,not manhattan,1320.1251680107528
Monday,rainy,summer,day,manhattan,807.6203869562029
Monday,rainy,summer,day,not manhattan,1883.1757680250785
Monday,rainy,summer,night,manhattan,704.2627716423227
Monday,rainy,summer,night,not manhattan,1369.4355841371919
Monday,rainy,winter,day,manhattan,685.5008222275515
Monday,rainy,winter,day,not manhattan,1545.8570640852836
Monday,rainy,winter,night,manhattan,635.2442212795429
Monday,rainy,winter,night,not manhattan,1352.1874799357945
Monday,sunny,fall,day,manhattan,840.6064232095816
Monday,sunny,fall,day,not manhattan,1887.805444748271
Monday,sunny,fall,night,manhattan,706.9072522216705
Monday,sunny,fall,night,not manhattan,1347.207329162821
Monday,sunny,spring,day,manhattan,773.576409837032
Monday,sunny,spring,day,not manhattan,1834.3605748829016
Monday,sunny,spring,night,manhattan,675.1362756484708
Monday,sunny,spring,night,not manhattan,1357.0445179148085
Monday,sunny,summer,day,manhattan,756.3223475186477
Monday,sunny,summer,day,not manhattan,1784.2389307452495
Monday,sunny,summer,night,manhattan,697.519348941997
Monday,sunny,summer,night,not manhattan,1440.1048253336396
Monday,sunny,winter,day,manhattan,764.5339692264041
Monday,sunny,winter,day,not manhattan,1704.959427830864
Monday,sunny,winter,night,manhattan,664.4418091839483
Monday,sunny,winter,night,not manhattan,1291.45959142104
Tuesday,rainy,fall,day,manhattan,910.2228231659419
Tuesday,rainy,fall,day,not manhattan,2100.344332742994
Tuesday,rainy,fall,night,manhattan,740.6795110406471
Tuesday,rainy,fall,night,not manhattan,1416.416459998163
Tuesday,rainy,spring,day,manhattan,824.6219770701798
Tuesday,rainy,spring,day,not manhattan,1726.1972733912196
Tuesday,rainy,spring,night,manhattan,688.6502036485608
Tuesday,rainy,spring,night,not manhattan,1343.8211482222564
Tuesday,rainy,summer,day,manhattan,804.48131772551
Tuesday,rainy,summer,day,not manhattan,1722.400418434358
Tuesday,rainy,summer,night,manhattan,710.012347130762
Tuesday,rainy,summer,night,not manhattan,1423.6889337929395
Tuesday,rainy,winter,day,manhattan,940.8864423552697
Tuesday,rainy,winter,day,not manhattan,2007.2486018939676
Tuesday,rainy,winter,night,manhattan,740.0714967426035
Tuesday,rainy,winter,night,not manhattan,1356.9464594127808
Tuesday,sunny,fall,day,manhattan,905.1480004801
