PULocationID,weather,season,time,pickup_area,duration
1,rainy,fall,day,not manhattan,1568.8333333333333
1,rainy,fall,night,not manhattan,456.5
1,rainy,spring,day,not manhattan,1179.0
1,rainy,spring,night,not manhattan,2278.0
1,rainy,summer,day,not manhattan,1293.4545454545455
1,rainy,summer,night,not manhattan,924.5
1,rainy,winter,day,not manhattan,1172.5652173913043
1,rainy,winter,night,not manhattan,1321.0
1,sunny,fall,day,not manhattan,1577.5421686746988
1,sunny,fall,night,not manhattan,1913.125
1,sunny,spring,day,not manhattan,1475.392857142857
1,sunny,spring,night,not manhattan,1019.75
1,sunny,summer,day,not manhattan,1387.9913043478261
1,sunny,summer,night,not manhattan,1656.0666666666666
1,sunny,winter,day,not manhattan,1444.6363636363637
1,sunny,winter,night,not manhattan,1766.625
2,rainy,summer,day,not manhattan,400.0
2,rainy,winter,day,not manhattan,2081.0
2,sunny,fall,day,not manhattan,1825.0
2,sunny,spring,day,not manhattan,2783.1428571428573
2,sunny,spring,night,not manhattan,1384.0
2,sunny,summer,day,not manhattan,3046.4
2,sunny,summer,night,not manhattan,2202.5
2,sunny,winter,day,not manhattan,2605.2
2,sunny,winter,night,not manhattan,1923.0
3,rainy,fall,day,not manhattan,516.0
3,rainy,fall,night,not manhattan,1196.0
3,rainy,spring,day,not manhattan,3339.6666666666665
3,rainy,spring,night,not manhattan,1456.5
3,rainy,summer,day,not manhattan,780.0
3,rainy,winter,day,not manhattan,1702.5
3,sunny,fall,day,not manhattan,1448.1176470588234
3,sunny,spring,day,not manhattan,1007.8333333333334
3,sunny,spring,night,not manhattan,250.0
3,sunny,summer,day,not manhattan,1906.125
3,sunny,summer,night,not manhattan,979.0
3,sunny,winter,day,not manhattan,981.1
4,rainy,fall,day,manhattan,929.9525368248773
4,rainy,fall,night,manhattan,811.5089020771513
4,rainy,spring,day,manhattan,897.2167182662539
4,rainy,spring,night,manhattan,817.129883843717
4,rainy,summer,day,manhattan,927.9215291750503
4,rainy,summer,night,manhattan,803.2660944206009
4,rainy,winter,day,manhattan,886.514409221902
4,rainy,winter,night,manhattan,753.731308411215
4,sunny,fall,day,manhattan,945.7094129222696
4,sunny,fall,night,manhattan,845.0055272108843
4,sunny,spring,day,manhattan,911.0866310160428
4,sunny,spring,night,manhattan,794.5164677804296
4,sunny,summer,day,manhattan,879.4008660686669
4,sunny,summer,night,manhattan,812.3798054654933
4,sunny,winter,day,manhattan,858.9504132231405
4,sunny,winter,night,manhattan,773.4228922091783
5,rainy,winter,day,not manhattan,469.00000000000006
5,sunny,fall,night,not manhattan,1282.0
5,sunny,summer,day,not manhattan,911.5
5,sunny,summer,night,not manhattan,930.0
6,rainy,fall,day,not manhattan,772.5
6,rainy,fall,night,not manhattan,1053.5
6,rainy,summer,day,not manhattan,1482.0
6,rainy,winter,day,not manhattan,1221.6666666666667
6,rainy,winter,night,not manhattan,1519.0
6,sunny,fall,day,not manhattan,556.2727272727273
6,sunny,fall,night,not manhattan,432.3333333333333
6,sunny,spring,day,not manhattan,580.0
6,sunny,summer,day,not manhattan,1277.0
6,sunny,summer,night,not manhattan,684.5
6,sunny,winter,day,not manhattan,2658.5000000000005
7,rainy,fall,day,not manhattan,1054.7547619047618
7,rainy,fall,night,not manhattan,810.030612244898
7,rainy,spring,day,not manhattan,977.4255952380952
7,rainy,spring,night,not manhattan,797.8393574297189
7,rainy,summer,day,not manhattan,959.199481865285
7,rainy,summer,night,not manhattan,757.695652173913
7,rainy,winter,day,not manhattan,925.6626746506986
7,rainy,winter,night,not manhattan,687.75
7,sunny,fall,day,not manhattan,1064.2806034482758
7,sunny,fall,night,not manhattan,765.3703703703703
7,sunny,spring,day,not manhattan,1005.8817699115044
7,sunny,spring,night,not manhattan,741.333044982699
7,sunny,summer,day,not manhattan,1044.4042056074766
7,sunny,summer,night,not manhattan,769.0995951417004
7,sunny,winter,day,not manhattan,892.7700247729149
7,sunny,winter,night,not manhattan,721.4242081447964
8,rainy,fall,day,not manhattan,1975.6666666666667
8,rainy,fall,night,not manhattan,1206.25
8,rainy,spring,day,not manhattan,1154.875
8,rainy,spring,night,not manhattan,626.3333333333334
8,rainy,summer,day,not manhattan,1065.3333333333333
8,rainy,summer,night,not manhattan,1789.0
8,rainy,winter,day,not manhattan,1582.7777777777778
8,rainy,winter,night,not manhattan,133.5
8,sunny,fall,day,not manhattan,1575.3589743589744
8,sunny,fall,night,not manhattan,621.9166666666666
8,sunny,spring,day,not manhattan,1197.1025641025642
8,sunny,spring,night,not manhattan,938.2352941176471
8,sunny,summer,day,not manhattan,1314.0555555555557
8,sunny,summer,night,not manhattan,846.5384615384615
8,sunny,winter,day,not manhattan,1388.148148148148
8,sunny,winter,night,not manhattan,509.1666666666667
9,rainy,spring,day,not manhattan,1387.0
9,rainy,summer,day,not manhattan,1610.6666666666667
9,rainy,winter,day,not manhattan,788.0
9,sunny,fall,day,not manhattan,1198.9
9,sunny,fall,night,not manhattan,1798.5
9,sunny,spring,day,not manhattan,1115.0
9,sunny,spring,night,not manhattan,485.5
9,sunny,summer,day,not manhattan,1108.1
9,sunny,summer,night,not manhattan,1153.6
9,sunny,winter,day,not manhattan,933.5
9,sunny,winter,night,not manhattan,943.25
10,rainy,fall,day,not manhattan,2984.171557562077
10,rainy,fall,night,not manhattan,1706.5421686746988
10,rainy,spring,day,not manhattan,2985.0332326283988
10,rainy,spring,night,not manhattan,1775.274193548387
10,rainy,summer,day,not manhattan,2795.849753694581
10,rainy,summer,night,not manhattan,1840.2978723404256
10,rainy,winter,day,not manhattan,2692.496815286624
10,rainy,winter,night,not manhattan,1510.4375
10,sunny,fall,day,not manhattan,2953.0544783010155
10,sunny,fall,night,not manhattan,1690.2883597883597
10,sunny,spring,day,not manhattan,2939.911170212766
10,sunny,spring,night,not manhattan,1614.5891719745223
10,sunny,summer,day,not manhattan,2792.032868077443
10,sunny,summer,night,not manhattan,1859.0592592592593
10,sunny,winter,day,not manhattan,2618.0233918128656
10,sunny,winter,night,not manhattan,1622.8816326530612
11,rainy,fall,day,not manhattan,1787.0
11,rainy,fall,night,not manhattan,777.0
11,rainy,spring,day,not manhattan,1707.5
11,rainy,spring,night,not manhattan,265.0
11,rainy,summer,day,not manhattan,559.0
11,rainy,summer,night,not manhattan,3064.0
11,rainy,winter,day,not manhattan,1102.6666666666667
11,rainy,winter,night,not manhattan,876.0
11,sunny,fall,day,not manhattan,2301.181818181818
11,sunny,fall,night,not manhattan,1360.8333333333333
11,sunny,spring,day,not manhattan,1583.8
11,sunny,spring,night,not manhattan,327.0
11,sunny,summer,day,not manhattan,2204.8888888888887
11,sunny,summer,night,not manhattan,1529.6
11,sunny,winter,day,not manhattan,1757.5454545454545
11,sunny,winter,night,not manhattan,765.3333333333334
12,rainy,fall,day,manhattan,1322.5160550458716
12,rainy,fall,night,manhattan,858.6111111111111
12,rainy,spring,day,manhattan,1198.091068301226
12,rainy,spring,night,manhattan,1010.5227272727273
12,rainy,summer,day,manhattan,1213.4274509803922
12,rainy,summer,night,manhattan,1035.090909090909
12,rainy,winter,day,manhattan,1218.9562841530055
12,rainy,winter,night,manhattan,887.0588235294117
12,sunny,fall,day,manhattan,1289.2141222621772
12,sunny,fall,night,manhattan,1039.9583333333333
12,sunny,spring,day,manhattan,1195.906299461855
12,sunny,spring,night,manhattan,990.1029411764706
12,sunny,summer,day,manhattan,1225.5363597246128
12,sunny,summer,night,manhattan,1112.3180076628353
12,sunny,winter,day,manhattan,1208.1578694817658
12,sunny,winter,night,manhattan,864.1506849315068
13,rainy,fall,day,manhattan,1159.7927441142417
13,rainy,fall,night,manhattan,995.3624641833811
13,rainy,spring,day,manhattan,1084.4041959602723
13,rainy,spring,night,manhattan,961.3575949367089
13,rainy,summer,day,manhattan,1128.0241440458328
13,rainy,summer,night,manhattan,925.4751552795032
13,rainy,winter,day,manhattan,1126.5281104457752
13,rainy,winter,night,manhattan,926.5774647887324
13,sunny,fall,day,manhattan,1184.809171771222
13,sunny,fall,night,manhattan,1007.8507646768624
13,sunny,spring,day,manhattan,1108.7406456934675
13,sunny,spring,night,manhattan,933.2915543575921
13,sunny,summer,day,manhattan,1088.1342682381023
13,sunny,summer,night,manhattan,978.4089335180056
13,sunny,winter,day,manhattan,1060.4011236689096
13,sunny,winter,night,manhattan,925.7011054421769
14,rainy,fall,day,not manhattan,1374.0
14,rainy,fall,night,not manhattan,788.125
14,rainy,spring,day,not manhattan,1626.5
14,rainy,spring,night,not manhattan,779.5
14,rainy,summer,day,not manhattan,1526.2666666666667
14,rainy,summer,night,not manhattan,1264.4285714285713
14,rainy,winter,day,not manhattan,1572.4166666666667
14,rainy,winter,night,not manhattan,1074.4
14,sunny,fall,day,not manhattan,1696.5125
14,sunny,fall,night,not manhattan,823.3529411764706
14,sunny,spring,day,not manhattan,1761.5
14,sunny,spring,night,not manhattan,906.7692307692307
14,sunny,summer,day,not manhattan,1723.8955223880596
14,sunny,summer,night,not manhattan,1020.7142857142857
14,sunny,winter,day,not manhattan,1704.3617021276596
14,sunny,winter,night,not manhattan,713.6666666666666
15,rainy,fall,day,not manhattan,1207.0
15,rainy,fall,night,not manhattan,1963.0
15,rainy,spring,day,not manhattan,1938.0
15,rainy,summer,day,not manhattan,1816.5
15,rainy,winter,day,not manhattan,159.0
15,rainy,winter,night,not manhattan,1020.0
15,sunny,fall,day,not manhattan,1366.1666666666667
15,sunny,fall,night,not manhattan,181.0
15,sunny,spring,day,not manhattan,2328.4
15,sunny,spring,night,not manhattan,323.5
15,sunny,summer,day,not manhattan,1660.75
15,sunny,summer,night,not manhattan,576.3333333333334
15,sunny,winter,day,not manhattan,868.5
16,rainy,fall,night,not manhattan,1273.5
16,rainy,spring,day,not manhattan,729.0
16,rainy,spring,night,not manhattan,667.5
16,rainy,summer,day,not manhattan,2605.0
16,rainy,winter,night,not manhattan,432.0
16,sunny,fall,day,not manhattan,1165.111111111111
16,sunny,fall,night,not manhattan,1044.1
16,sunny,spring,day,not manhattan,1300.625
16,sunny,spring,night,not manhattan,1176.0
16,sunny,summer,day,not manhattan,813.125
16,sunny,summer,night,not manhattan,816.1428571428571
16,sunny,winter,day,not manhattan,1476.0
16,sunny,winter,night,not manhattan,1556.5
17,rainy,fall,day,not manhattan,1317.2222222222222
17,rainy,fall,night,not manhattan,585.0384615384615
17,rainy,spring,day,not manhattan,1026.9117647058824
17,rainy,spring,night,not manhattan,710.8918918918919
17,rainy,summer,day,not manhattan,861.0666666666667
17,rainy,summer,night,not manhattan,842.375
17,rainy,winter,day,not manhattan,870.0285714285715
17,rainy,winter,night,not manhattan,648.5652173913044
17,sunny,fall,day,not manhattan,1208.2814371257484
17,sunny,fall,night,not manhattan,764.7236842105264
17,sunny,spring,day,not manhattan,1027.4261363636363
17,sunny,spring,night,not manhattan,812.632768361582
17,sunny,summer,day,not manhattan,1072.8214285714287
17,sunny,summer,night,not manhattan,764.6770186335403
17,sunny,winter,day,not manhattan,964.984
17,sunny,winter,night,not manhattan,770.9
18,rainy,fall,day,not manhattan,1143.4
18,rainy,fall,night,not manhattan,1686.0
18,rainy,spring,day,not manhattan,1026.2222222222222
18,rainy,spring,night,not manhattan,762.6666666666666
18,rainy,summer,day,not manhattan,1550.5
18,rainy,summer,night,not manhattan,1063.5
18,rainy,winter,day,not manhattan,771.7272727272727
18,rainy,winter,night,not manhattan,582.5
18,sunny,fall,day,not manhattan,1470.7307692307693
18,sunny,fall,night,not manhattan,1166.0
18,sunny,spring,day,not manhattan,1346.5882352941176
18,sunny,spring,night,not manhattan,647.5
18,sunny,summer,day,not manhattan,1216.7894736842106
18,sunny,summer,night,not manhattan,997.2307692307693
18,sunny,winter,day,not manhattan,1024.157894736842
18,sunny,winter,night,not manhattan,930.5333333333333
19,rainy,fall,day,not manhattan,3330.0
19,rainy,spring,day,not manhattan,3148.5
19,rainy,summer,day,not manhattan,2808.0
19,rainy,summer,night,not manhattan,1059.0
19,rainy,winter,day,not manhattan,456.0
19,sunny,fall,day,not manhattan,1377.3333333333333
19,sunny,fall,night,not manhattan,1365.142857142857
19,sunny,spring,day,not manhattan,1525.0666666666666
19,sunny,spring,night,not manhattan,881.6666666666666
19,sunny,summer,day,not manhattan,1312.5
19,sunny,summer,night,not manhattan,1184.6666666666667
19,sunny,winter,day,not manhattan,1331.16
19,sunny,winter,night,not manhattan,673.0
20,rainy,fall,day,not manhattan,2635.0
20,rainy,fall,night,not manhattan,423.0
20,rainy,spring,day,not manhattan,1361.7272727272727
20,rainy,summer,day,not manhattan,840.1666666666666
20,rainy,winter,day,not manhattan,909.25
20,rainy,winter,night,not manhattan,1452.0
20,sunny,fall,day,not manhattan,1251.2
20,sunny,fall,night,not manhattan,916.75
20,sunny,spring,day,not manhattan,1360.5757575757575
20,sunny,spring,night,not manhattan,1193.4285714285713
20,sunny,summer,day,not manhattan,1483.8695652173913
20,sunny,summer,night,not manhattan,675.875
20,sunny,winter,day,not manhattan,1082.7142857142858
20,sunny,winter,night,not manhattan,1124.7142857142858
21,rainy,spring,day,not manhattan,4968.0
21,rainy,summer,day,not manhattan,1309.3333333333333
21,rainy,summer,night,not manhattan,1596.3333333333333
21,rainy,winter,day,not manhattan,1149.0
21,sunny,fall,day,not manhattan,1521.4615384615386
21,sunny,fall,night,not manhattan,1220.0
21,sunny,spring,day,not manhattan,1129.8181818181818
21,sunny,spring,night,not manhattan,976.7
21,sunny,summer,day,not manhattan,2319.090909090909
21,sunny,summer,night,not manhattan,787.125
21,sunny,winter,day,not manhattan,2254.2
21,sunny,winter,night,not manhattan,946.75
22,rainy,fall,day,not manhattan,2044.2
22,rainy,spring,day,not manhattan,1471.0
22,rainy,spring,night,not manhattan,557.3333333333334
22,rainy,summer,day,not manhattan,1809.0
22,rainy,winter,day,not manhattan,602.0
22,rainy,winter,night,not manhattan,604.0
22,sunny,fall,day,not manhattan,1138.7692307692307
22,sunny,fall,night,not manhattan,1557.0
22,sunny,spring,day,not manhattan,1533.0833333333333
22,sunny,spring,night,not manhattan,904.5
22,sunny,summer,day,not manhattan,1404.125
22,sunny,summer,night,not manhattan,873.1428571428571
22,sunny,winter,day,not manhattan,1384.4444444444443
22,sunny,winter,night,not manhattan,647.6666666666666
23,rainy,fall,day,not manhattan,845.0
23,rainy,spring,day,not manhattan,860.0
23,rainy,winter,day,not manhattan,1860.0
23,sunny,fall,day,not manhattan,3155.0
23,sunny,fall,night,not manhattan,193.0
23,sunny,spring,day,not manhattan,3974.0
23,sunny,spring,night,not manhattan,5937.0
23,sunny,summer,day,not manhattan,1741.0
23,sunny,summer,night,not manhattan,1028.0
23,sunny,winter,day,not manhattan,2028.2500000000002
23,sunny,winter,night,not manhattan,2266.0
24,rainy,fall,day,manhattan,867.8188440990772
24,rainy,fall,night,manhattan,742.3484536082474
24,rainy,spring,day,manhattan,836.625
24,rainy,spring,night,manhattan,756.7178477690288
24,rainy,summer,day,manhattan,864.6174680462568
24,rainy,summer,night,manhattan,720.2862745098039
24,rainy,winter,day,manhattan,819.5114982578398
24,rainy,winter,night,manhattan,785.9298642533937
24,sunny,fall,day,manhattan,885.9605033035367
24,sunny,fall,night,manhattan,771.1675295857988
24,sunny,spring,day,manhattan,853.180128840436
24,sunny,spring,night,manhattan,743.7478448275862
