pickup_at,weather,season,time,pickup_area,tip_amount
Monday,rainy,fall,day,manhattan,2.3295687097568245
Monday,rainy,fall,day,not manhattan,5.83191299953351
Monday,rainy,fall,night,manhattan,2.3681804545802403
Monday,rainy,fall,night,not manhattan,5.854162692847125
Monday,rainy,spring,day,manhattan,2.2380468865431022
Monday,rainy,spring,day,not manhattan,5.619327771282814
Monday,rainy,spring,night,manhattan,2.2513908765652952
Monday,rainy,spring,night,not manhattan,5.765068884408603
Monday,rainy,summer,day,manhattan,2.1874902841938764
Monday,rainy,summer,day,not manhattan,5.362225391849529
Monday,rainy,summer,night,manhattan,2.3134442465265406
Monday,rainy,summer,night,not manhattan,5.753121114683816
Monday,rainy,winter,day,manhattan,2.022215389359005
Monday,rainy,winter,day,not manhattan,4.999807008944982
Monday,rainy,winter,night,manhattan,2.1930932386806337
Monday,rainy,winter,night,not manhattan,5.70391974317817
Monday,sunny,fall,day,manhattan,2.323441278322915
Monday,sunny,fall,day,not manhattan,5.806177014637285
Monday,sunny,fall,night,manhattan,2.3792886601072074
Monday,sunny,fall,night,not manhattan,5.962946364475439
Monday,sunny,spring,day,manhattan,2.21412715594282
Monday,sunny,spring,day,not manhattan,5.606617718883863
Monday,sunny,spring,night,manhattan,2.307638258862373
Monday,sunny,spring,night,not manhattan,5.91237890204521
Monday,sunny,summer,day,manhattan,2.199330130717223
Monday,sunny,summer,day,not manhattan,5.463499665973872
Monday,sunny,summer,night,manhattan,2.27625891225017
Monday,sunny,summer,night,not manhattan,5.7117339049222995
Monday,sunny,winter,day,manhattan,2.2790357085469184
Monday,sunny,winter,day,not manhattan,5.574486730627878
Monday,sunny,winter,night,manhattan,2.35376085712362
Monday,sunny,winter,night,not manhattan,5.786910795590702
Tuesday,rainy,fall,day,manhattan,2.374483299068266
Tuesday,rainy,fall,day,not manhattan,5.426271747056985
Tuesday,rainy,fall,night,manhattan,2.4600599710484596
Tuesday,rainy,fall,night,not manhattan,5.6513603380178195
Tuesday,rainy,spring,day,manhattan,2.291934333188977
Tuesday,rainy,spring,day,not manhattan,5.031175850036517
Tuesday,rainy,spring,night,manhattan,2.350476434952254
Tuesday,rainy,spring,night,not manhattan,5.405140834231183
Tuesday,rainy,summer,day,manhattan,2.2455102743449427
Tuesday,rainy,summer,day,not manhattan,5.102127041320393
Tuesday,rainy,summer,night,manhattan,2.3179571378174977
Tuesday,rainy,summer,night,not manhattan,5.289605372637585
Tuesday,rainy,winter,day,manhattan,2.446854226276273
Tuesday,rainy,winter,day,not manhattan,5.637760793378569
Tuesday,rainy,winter,night,manhattan,2.423656168305739
Tuesday,rainy,winter,night,not manhattan,5.557060065246594
Tuesday,sunny,fall,day,manhattan,2.4213158464728517
Tuesday,sunny,fall,day,not manhattan,5.57150217351929
Tuesday,sunny,fall,night,manhattan,2.4742292535123065
Tuesday,sunny,fall,night,not manhattan,5.426041561375866
Tuesday,sunny,spring,day,manhattan,2.32378240273385
Tuesday,sunny,spring,day,not manhattan,5.228046838699835
Tuesday,sunny,spring,night,manhattan,2.394977536274265
Tuesday,sunny,spring,night,not manhattan,5.36835265043865
Tuesday,sunny,summer,day,manhattan,2.270857223091702
Tuesday,sunny,summer,day,not manhattan,5.109014921072012
Tuesday,sunny,summer,night,manhattan,2.3939444100691656
Tuesday,sunny,summer,night,not manhattan,5.2705155108191875
Tuesday,sunny,winter,day,manhattan,2.3084416077847174
Tuesday,sunny,winter,day,not manhattan,5.19375580259649
Tuesday,sunny,winter,night,manhattan,2.4542149969750975
Tuesday,sunny,winter,night,not manhattan,5.455791174593042
Wednesday,rainy,fall,day,manhattan,2.408200529450695
Wednesday,rainy,fall,day,not manhattan,5.332037927930724
