PULocationID,weather,season,time,pickup_area,tip_amount
1,rainy,fall,day,not manhattan,9.267083333333334
1,rainy,fall,night,not manhattan,0.0
1,rainy,spring,day,not manhattan,10.078181818181818
1,rainy,spring,night,not manhattan,8.52
1,rainy,summer,day,not manhattan,7.4768181818181825
1,rainy,summer,night,not manhattan,0.0
1,rainy,winter,day,not manhattan,7.9913043478260875
1,rainy,winter,night,not manhattan,0.0
1,sunny,fall,day,not manhattan,10.347469879518073
1,sunny,fall,night,not manhattan,9.783750000000001
1,sunny,spring,day,not manhattan,8.171517857142858
1,sunny,spring,night,not manhattan,7.6866666666666665
1,sunny,summer,day,not manhattan,11.913130434782609
1,sunny,summer,night,not manhattan,11.966666666666667
1,sunny,winter,day,not manhattan,12.24659090909091
1,sunny,winter,night,not manhattan,9.063749999999999
2,rainy,summer,day,not manhattan,0.0
2,rainy,winter,day,not manhattan,8.0
2,sunny,fall,day,not manhattan,9.1875
2,sunny,spring,day,not manhattan,8.942857142857143
2,sunny,spring,night,not manhattan,7.675
2,sunny,summer,day,not manhattan,6.14
2,sunny,summer,night,not manhattan,12.37
2,sunny,winter,day,not manhattan,12.372
2,sunny,winter,night,not manhattan,11.05
3,rainy,fall,day,not manhattan,0.75
3,rainy,fall,night,not manhattan,3.0
3,rainy,spring,day,not manhattan,8.066666666666666
3,rainy,spring,night,not manhattan,0.0
3,rainy,summer,day,not manhattan,2.0
3,rainy,winter,day,not manhattan,11.76
3,sunny,fall,day,not manhattan,0.9852941176470589
3,sunny,spring,day,not manhattan,0.9550000000000001
3,sunny,spring,night,not manhattan,0.53
3,sunny,summer,day,not manhattan,3.463125
3,sunny,summer,night,not manhattan,1.0
3,sunny,winter,day,not manhattan,0.6759999999999999
4,rainy,fall,day,manhattan,2.489050736497545
4,rainy,fall,night,manhattan,2.46580118694362
4,rainy,spring,day,manhattan,2.2376780185758514
4,rainy,spring,night,manhattan,2.464361140443506
4,rainy,summer,day,manhattan,2.293460764587525
4,rainy,summer,night,manhattan,2.5324034334763947
4,rainy,winter,day,manhattan,2.218976945244957
4,rainy,winter,night,manhattan,2.5772429906542054
4,sunny,fall,day,manhattan,2.4503378156772713
4,sunny,fall,night,manhattan,2.555206207482993
4,sunny,spring,day,manhattan,2.2703288770053476
4,sunny,spring,night,manhattan,2.4979140811455847
4,sunny,summer,day,manhattan,2.237565728425611
4,sunny,summer,night,manhattan,2.543024548402038
4,sunny,winter,day,manhattan,2.0856370523415975
4,sunny,winter,night,manhattan,2.5009605122732124
5,rainy,winter,day,not manhattan,0.0
5,sunny,fall,night,not manhattan,0.0
5,sunny,summer,day,not manhattan,0.0
5,sunny,summer,night,not manhattan,2.0
6,rainy,fall,day,not manhattan,0.0
6,rainy,fall,night,not manhattan,9.445
6,rainy,summer,day,not manhattan,19.01
6,rainy,winter,day,not manhattan,5.216666666666667
6,rainy,winter,night,not manhattan,18.51
6,sunny,fall,day,not manhattan,0.0
6,sunny,fall,night,not manhattan,0.0
6,sunny,spring,day,not manhattan,0.0
