pickup_at,weather,season,time,pickup_area,trip_distance
Monday,rainy,fall,day,manhattan,2.469631155505461
Monday,rainy,fall,day,not manhattan,10.540003887420308
Monday,rainy,fall,night,manhattan,2.912703757557205
Monday,rainy,fall,night,not manhattan,11.502112201963534
Monday,rainy,spring,day,manhattan,2.426050350499893
Monday,rainy,spring,day,not manhattan,9.960625464980337
Monday,rainy,spring,night,manhattan,2.6895047975280533
Monday,rainy,spring,night,not manhattan,10.78853998655914
Monday,rainy,summer,day,manhattan,2.50525559640908
Monday,rainy,summer,day,not manhattan,10.229126645768025
Monday,rainy,summer,night,manhattan,3.207850374064838
Monday,rainy,summer,night,not manhattan,11.722070739549839
Monday,rainy,winter,day,manhattan,2.201743036760423
Monday,rainy,winter,day,not manhattan,9.79586263938243
Monday,rainy,winter,night,manhattan,2.854585750151502
Monday,rainy,winter,night,not manhattan,11.583255216693418
Monday,sunny,fall,day,manhattan,2.5048876783628247
Monday,sunny,fall,day,not manhattan,10.33236158919093
Monday,sunny,fall,night,manhattan,3.0076336295560715
Monday,sunny,fall,night,not manhattan,11.503901138344785
Monday,sunny,spring,day,manhattan,2.4621000711174212
Monday,sunny,spring,day,not manhattan,10.15972881220225
Monday,sunny,spring,night,manhattan,2.9996658850685542
Monday,sunny,spring,night,not manhattan,11.595884976164847
Monday,sunny,summer,day,manhattan,2.5072385772406496
Monday,sunny,summer,day,not manhattan,10.30423109040974
Monday,sunny,summer,night,manhattan,2.9161713580346844
Monday,sunny,summer,night,not manhattan,11.613444333869198
Monday,sunny,winter,day,manhattan,2.326442492403592
Monday,sunny,winter,day,not manhattan,9.810326124801733
Monday,sunny,winter,night,manhattan,2.811874831672502
Monday,sunny,winter,night,not manhattan,11.219145099448838
Tuesday,rainy,fall,day,manhattan,2.337681301045241
Tuesday,rainy,fall,day,not manhattan,9.657213772267944
Tuesday,rainy,fall,night,manhattan,3.0355279060683347
Tuesday,rainy,fall,night,not manhattan,11.36457518140902
Tuesday,rainy,spring,day,manhattan,2.3367114170446515
Tuesday,rainy,spring,day,not manhattan,9.325699910736022
Tuesday,rainy,spring,night,manhattan,2.7401115788753123
Tuesday,rainy,spring,night,not manhattan,10.492768970293982
Tuesday,rainy,summer,day,manhattan,2.3688086652411844
Tuesday,rainy,summer,day,not manhattan,9.695172313593304
Tuesday,rainy,summer,night,manhattan,2.773823788805268
Tuesday,rainy,summer,night,not manhattan,10.960771425175324
Tuesday,rainy,winter,day,manhattan,2.2395947980982296
Tuesday,rainy,winter,day,not manhattan,9.508377451345911
Tuesday,rainy,winter,night,manhattan,2.7169986306485745
Tuesday,rainy,winter,night,not manhattan,10.266160046056418
Tuesday,sunny,fall,day,manhattan,2.382991878308448
Tuesday,sunny,fall,day,not manhattan,9.721544647708749
Tuesday,sunny,fall,night,manhattan,2.8645557193191094
Tuesday,sunny,fall,night,not manhattan,10.484144543211345
Tuesday,sunny,spring,day,manhattan,2.3620968124953285
Tuesday,sunny,spring,day,not manhattan,9.35783254852736
Tuesday,sunny,spring,night,manhattan,2.9096322329209228
Tuesday,sunny,spring,night,not manhattan,10.526502409489682
Tuesday,sunny,summer,day,manhattan,2.3933361072964363
Tuesday,sunny,summer,day,not manhattan,9.543675434664276
Tuesday,sunny,summer,night,manhattan,2.9378248616990645
Tuesday,sunny,summer,night,not manhattan,10.825377747448037
Tuesday,sunny,winter,day,manhattan,2.228139034290478
Tuesday,sunny,winter,day,not manhattan,9.086622038343776
Tuesday,sunny,winter,night,manhattan,2.8095555846236855
Tuesday,sunny,winter,night,not manhattan,10.41773619533993
Wednesday,rainy,fall,day,manhattan,2.2933519523494375
Wednesday,rainy,fall,day,not manhattan,9.449231198981968
Wednesday,rainy,fall,night,manhattan,3.0089427287393407
Wednesday,rainy,fall,night,not manhattan,10.39114709851552
Wednesday,rainy,spring,day,manhattan,2.238796296296296
Wednesday,rainy,spring,day,not manhattan,8.975285067407636
