PULocationID,weather,season,time,pickup_area,trip_distance
1,rainy,fall,day,not manhattan,9.022083333333333
1,rainy,fall,night,not manhattan,3.25
1,rainy,spring,day,not manhattan,4.443636363636364
1,rainy,spring,night,not manhattan,16.265
1,rainy,summer,day,not manhattan,8.468636363636364
1,rainy,summer,night,not manhattan,6.114999999999999
1,rainy,winter,day,not manhattan,8.290869565217392
1,rainy,winter,night,not manhattan,9.215000000000002
1,sunny,fall,day,not manhattan,10.130843373493976
1,sunny,fall,night,not manhattan,8.026250000000001
1,sunny,spring,day,not manhattan,8.388392857142858
1,sunny,spring,night,not manhattan,7.135000000000001
1,sunny,summer,day,not manhattan,8.781478260869566
1,sunny,summer,night,not manhattan,12.136
1,sunny,winter,day,not manhattan,8.34068181818182
1,sunny,winter,night,not manhattan,15.70125
2,rainy,summer,day,not manhattan,3.93
2,rainy,winter,day,not manhattan,18.8
2,sunny,fall,day,not manhattan,15.14
2,sunny,spring,day,not manhattan,17.82857142857143
2,sunny,spring,night,not manhattan,13.4
2,sunny,summer,day,not manhattan,16.04
2,sunny,summer,night,not manhattan,18.715
2,sunny,winter,day,not manhattan,14.658000000000001
2,sunny,winter,night,not manhattan,17.7
3,rainy,fall,day,not manhattan,2.39
3,rainy,fall,night,not manhattan,4.08
3,rainy,spring,day,not manhattan,16.356666666666666
3,rainy,spring,night,not manhattan,11.825
3,rainy,summer,day,not manhattan,2.63
3,rainy,winter,day,not manhattan,14.0875
3,sunny,fall,day,not manhattan,5.892941176470589
3,sunny,spring,day,not manhattan,4.945
3,sunny,spring,night,not manhattan,0.7866666666666667
3,sunny,summer,day,not manhattan,8.535
3,sunny,summer,night,not manhattan,3.2433333333333336
3,sunny,winter,day,not manhattan,3.821
4,rainy,fall,day,manhattan,2.768952536824877
4,rainy,fall,night,manhattan,3.091513353115727
4,rainy,spring,day,manhattan,2.7394736842105263
4,rainy,spring,night,manhattan,2.957972544878564
4,rainy,summer,day,manhattan,2.952313883299799
4,rainy,summer,night,manhattan,3.250171673819742
4,rainy,winter,day,manhattan,2.663025936599424
4,rainy,winter,night,manhattan,2.721355140186916
4,sunny,fall,day,manhattan,2.726802230239423
4,sunny,fall,night,manhattan,3.04047193877551
4,sunny,spring,day,manhattan,2.8821684491978607
4,sunny,spring,night,manhattan,2.9647374701670643
4,sunny,summer,day,manhattan,2.8333529229817507
4,sunny,summer,night,manhattan,3.082640111162575
4,sunny,winter,day,manhattan,2.625478650137741
4,sunny,winter,night,manhattan,2.878105656350053
5,rainy,winter,day,not manhattan,6.31
5,sunny,fall,night,not manhattan,15.88
5,sunny,summer,day,not manhattan,10.815000000000001
5,sunny,summer,night,not manhattan,4.25
6,rainy,fall,day,not manhattan,7.7125
6,rainy,fall,night,not manhattan,10.55
6,rainy,summer,day,not manhattan,15.42
6,rainy,winter,day,not manhattan,12.076666666666668
6,rainy,winter,night,not manhattan,15.48
6,sunny,fall,day,not manhattan,4.28
6,sunny,fall,night,not manhattan,6.085000000000001
6,sunny,spring,day,not manhattan,2.09
6,sunny,summer,day,not manhattan,8.433333333333334
6,sunny,summer,night,not manhattan,8.135
6,sunny,winter,day,not manhattan,14.195
7,rainy,fall,day,not manhattan,3.401619047619048
7,rainy,fall,night,not manhattan,3.565051020408163
7,rainy,spring,day,not manhattan,3.1845535714285713
7,rainy,spring,night,not manhattan,3.7722891566265058
7,rainy,summer,day,not manhattan,3.155725388601036
7,rainy,summer,night,not manhattan,3.709021739130435
7,rainy,winter,day,not manhattan,3.023353293413174
7,rainy,winter,night,not manhattan,3.0378658536585363
7,sunny,fall,day,not manhattan,3.3379310344827586
7,sunny,fall,night,not manhattan,3.648672839506173
7,sunny,spring,day,not manhattan,3.3148212389380536
7,sunny,spring,night,not manhattan,3.3944723183391003
7,sunny,summer,day,not manhattan,3.539501557632399
7,sunny,summer,night,not manhattan,3.673692307692308
7,sunny,winter,day,not manhattan,2.9831709331131298
7,sunny,winter,night,not manhattan,3.38539592760181
8,rainy,fall,day,not manhattan,9.26
8,rainy,fall,night,not manhattan,7.7775
8,rainy,spring,day,not manhattan,5.5375
8,rainy,spring,night,not manhattan,3.9599999999999995
8,rainy,summer,day,not manhattan,5.066666666666666
8,rainy,summer,night,not manhattan,19.845
8,rainy,winter,day,not manhattan,8.085555555555555
8,rainy,winter,night,not manhattan,1.7
8,sunny,fall,day,not manhattan,7.364871794871795
8,sunny,fall,night,not manhattan,5.57
8,sunny,spring,day,not manhattan,5.756153846153846
8,sunny,spring,night,not manhattan,5.7552941176470584
8,sunny,summer,day,not manhattan,7.840277777777778
8,sunny,summer,night,not manhattan,5.552307692307693
8,sunny,winter,day,not manhattan,8.268518518518519
8,sunny,winter,night,not manhattan,3.795
9,rainy,spring,day,not manhattan,6.449999999999999
9,rainy,summer,day,not manhattan,5.59
9,rainy,winter,day,not manhattan,4.42
9,sunny,fall,day,not manhattan,5.769
9,sunny,fall,night,not manhattan,14.475
9,sunny,spring,day,not manhattan,7.5680000000000005
9,sunny,spring,night,not manhattan,3.0
9,sunny,summer,day,not manhattan,7.779999999999999
9,sunny,summer,night,not manhattan,7.587999999999999
9,sunny,winter,day,not manhattan,5.632
9,sunny,winter,night,not manhattan,7.075
10,rainy,fall,day,not manhattan,15.414808126410836
10,rainy,fall,night,not manhattan,15.265542168674699
10,rainy,spring,day,not manhattan,15.058761329305135
10,rainy,spring,night,not manhattan,14.577903225806452
10,rainy,summer,day,not manhattan,14.947536945812807
10,rainy,summer,night,not manhattan,15.38127659574468
10,rainy,winter,day,not manhattan,15.050095541401273
10,rainy,winter,night,not manhattan,12.458958333333333
10,sunny,fall,day,not manhattan,15.142105263157896
10,sunny,fall,night,not manhattan,14.64637566137566
10,sunny,spring,day,not manhattan,15.367436170212766
10,sunny,spring,night,not manhattan,13.697324840764331
10,sunny,summer,day,not manhattan,15.28267897343539
10,sunny,summer,night,not manhattan,14.551092592592592
10,sunny,winter,day,not manhattan,14.810918964076857
10,sunny,winter,night,not manhattan,14.526530612244898
11,rainy,fall,day,not manhattan,16.42
11,rainy,fall,night,not manhattan,10.37
11,rainy,spring,day,not manhattan,11.9475
11,rainy,spring,night,not manhattan,1.035
11,rainy,summer,day,not manhattan,2.45
11,rainy,summer,night,not manhattan,42.24
11,rainy,winter,day,not manhattan,6.753333333333333
11,rainy,winter,night,not manhattan,4.8475
11,sunny,fall,day,not manhattan,15.563636363636363
11,sunny,fall,night,not manhattan,14.591666666666667
11,sunny,spring,day,not manhattan,6.786
11,sunny,spring,night,not manhattan,1.54
11,sunny,summer,day,not manhattan,13.784444444444444
11,sunny,summer,night,not manhattan,14.352
11,sunny,winter,day,not manhattan,12.165454545454544
11,sunny,winter,night,not manhattan,8.214444444444444
12,rainy,fall,day,manhattan,5.018417431192661
12,rainy,fall,night,manhattan,4.977777777777778
12,rainy,spring,day,manhattan,4.796602451838879
12,rainy,spring,night,manhattan,5.656590909090909
12,rainy,summer,day,manhattan,4.568549019607843
12,rainy,summer,night,manhattan,5.702727272727272
12,rainy,winter,day,manhattan,4.717868852459016
12,rainy,winter,night,manhattan,4.39764705882353
12,sunny,fall,day,manhattan,4.670536122915986
12,sunny,fall,night,manhattan,5.402013888888889
12,sunny,spring,day,manhattan,4.617809433364989
12,sunny,spring,night,manhattan,5.05875
12,sunny,summer,day,manhattan,4.612306368330465
12,sunny,summer,night,manhattan,5.384176245210728
12,sunny,winter,day,manhattan,4.573224568138196
12,sunny,winter,night,manhattan,4.801643835616438
13,rainy,fall,day,manhattan,4.687074488614434
13,rainy,fall,night,manhattan,5.090444126074499
13,rainy,spring,day,manhattan,4.5077413235130015
13,rainy,spring,night,manhattan,4.757900843881856
13,rainy,summer,day,manhattan,4.783583412904106
13,rainy,summer,night,manhattan,4.559658385093168
13,rainy,winter,day,manhattan,4.41855622089155
13,rainy,winter,night,manhattan,4.450516431924883
13,sunny,fall,day,manhattan,4.7133424863291795
13,sunny,fall,night,manhattan,5.0094499259990135
13,sunny,spring,day,manhattan,4.701300552207685
13,sunny,spring,night,manhattan,4.915303234501348
13,sunny,summer,day,manhattan,4.6271935806994735
13,sunny,summer,night,manhattan,4.901196329639889
13,sunny,winter,day,manhattan,4.4230208401384985
13,sunny,winter,night,manhattan,4.651033163265306
14,rainy,fall,day,not manhattan,6.2575
14,rainy,fall,night,not manhattan,3.38
14,rainy,spring,day,not manhattan,6.360625
14,rainy,spring,night,not manhattan,7.31
14,rainy,summer,day,not manhattan,8.830666666666666
14,rainy,summer,night,not manhattan,12.632857142857143
14,rainy,winter,day,not manhattan,5.29
14,rainy,winter,night,not manhattan,10.764
14,sunny,fall,day,not manhattan,8.726625
14,sunny,fall,night,not manhattan,6.243235294117647
14,sunny,spring,day,not manhattan,8.298
14,sunny,spring,night,not manhattan,5.023076923076923
14,sunny,summer,day,not manhattan,9.264776119402985
14,sunny,summer,night,not manhattan,6.700714285714286
14,sunny,winter,day,not manhattan,9.045957446808512
14,sunny,winter,night,not manhattan,4.4714285714285715
15,rainy,fall,day,not manhattan,14.51
15,rainy,fall,night,not manhattan,21.65
15,rainy,spring,day,not manhattan,15.399999999999999
15,rainy,summer,day,not manhattan,20.08
15,rainy,winter,day,not manhattan,0.3
15,rainy,winter,night,not manhattan,11.72
15,sunny,fall,day,not manhattan,7.378333333333334
15,sunny,fall,night,not manhattan,2.536
15,sunny,spring,day,not manhattan,13.572
15,sunny,spring,night,not manhattan,2.9499999999999997
15,sunny,summer,day,not manhattan,12.94375
15,sunny,summer,night,not manhattan,4.7
15,sunny,winter,day,not manhattan,7.66
16,rainy,fall,night,not manhattan,8.17
16,rainy,spring,day,not manhattan,8.233333333333333
16,rainy,spring,night,not manhattan,3.8499999999999996
16,rainy,summer,day,not manhattan,17.97
16,rainy,winter,night,not manhattan,1.74
16,sunny,fall,day,not manhattan,8.238888888888889
16,sunny,fall,night,not manhattan,8.088
16,sunny,spring,day,not manhattan,6.60125
16,sunny,spring,night,not manhattan,7.512499999999999
16,sunny,summer,day,not manhattan,4.328749999999999
16,sunny,summer,night,not manhattan,4.9799999999999995
16,sunny,winter,day,not manhattan,8.18
16,sunny,winter,night,not manhattan,14.95
17,rainy,fall,day,not manhattan,4.001111111111111
17,rainy,fall,night,not manhattan,2.142692307692308
17,rainy,spring,day,not manhattan,3.5976470588235294
17,rainy,spring,night,not manhattan,2.9756756756756757
17,rainy,summer,day,not manhattan,2.4486666666666665
17,rainy,summer,night,not manhattan,3.55125
17,rainy,winter,day,not manhattan,2.9454285714285717
17,rainy,winter,night,not manhattan,2.4439130434782608
17,sunny,fall,day,not manhattan,3.3291616766467067
17,sunny,fall,night,not manhattan,2.9613815789473685
