pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
Monday,rainy,fall,day,manhattan,380126.73,1772481.89,358891.32,2743715.57,2085565.4666666666,1046634.4973975071,1941841.3851224512,154359
Monday,rainy,fall,day,not manhattan,261216.96,826049.25,144737.98,1140473.68,826164.2,106936.70634682813,298354.57223256596,25068
Monday,rainy,fall,night,manhattan,168158.41,678883.57,134780.17,1040662.15,693280.7,287644.13161650096,714345.8505799597,57345
Monday,rainy,fall,night,not manhattan,188534.97,558894.37,95385.48,752280.11,384434.8833333333,43575.94242992457,193475.95587245142,16283
Monday,rainy,spring,day,manhattan,279807.54,1291235.21,257321.86,2008209.75,1501456.5833333333,754327.0242708175,1418774.217179511,115262
Monday,rainy,spring,day,not manhattan,179256.78,562674.55,100445.8,787042.69,532272.2666666666,75248.7657679615,216292.51875676867,17873
Monday,rainy,spring,night,manhattan,74321.55,300940.28,60996.92,467760.72000000003,301634.1333333333,130727.12350297096,339272.9656156932,27262
Monday,rainy,spring,night,not manhattan,74179.42,219295.95,39150.63,298420.51,150887.93333333332,18646.42536837228,83084.33924434599,6767
Monday,rainy,summer,day,manhattan,489419.83,2248185.41,427892.93,3432186.86,2627276.25,1301135.203814684,2331283.7135730195,195817
Monday,rainy,summer,day,not manhattan,331887.51,1047728.23,173504.45,1437421.58,1020100.4666666667,136915.33744282718,369241.8389549635,32542
Monday,rainy,summer,night,manhattan,41735.13,159869.96,29528.39,240952.98,150478.76666666666,58015.63169844361,149986.0911360229,12773
Monday,rainy,summer,night,not manhattan,47149.77,140109.94,22935.21,186189.15,91484.45,10426.812744087047,45592.7060096244,4030
Monday,rainy,winter,day,manhattan,260839.72,1214816.61,238382.2,1880158.56,1357116.35,740719.6945157535,1441798.4525718808,118419
Monday,rainy,winter,day,not manhattan,163606.92,504077.1,83180.59,688175.33,426887.9666666667,62430.36836910573,189084.382519039,16708
Monday,rainy,winter,night,manhattan,33646.2,131615.74,25558.51,202518.36000000002,123486.26666666666,52006.59005811301,142131.95570219756,11609
Monday,rainy,winter,night,not manhattan,36072.61,105632.66,17754.829999999998,140934.5,70016.09999999999,7664.64905820696,36514.873837053725,3108
Monday,sunny,fall,day,manhattan,1807833.76,8522517.14,1667641.99,12971412.65,10091370.983333332,5080153.432987279,8891021.33222649,720926
Monday,sunny,fall,day,not manhattan,1293957.25,4096012.61,722874.8,5673464.39,3927069.2666666666,529190.9041302282,1492617.8176654421,124781
Monday,sunny,fall,night,manhattan,318650.38,1266711.98,251707.76,1942030.78,1255473.6,513807.2420767381,1332098.9738341577,106493
Monday,sunny,fall,night,not manhattan,352793.14,1043137.71,182176.92,1409070.48,691317.0833333334,79660.29996523238,371441.12628586835,30740
