pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
January,rainy,winter,day,manhattan,582003.01,2681984.61,522765.79,4125809.46,2974302.7,1611989.112344606,3153994.059891334,259085
January,rainy,winter,day,not manhattan,339559.43,1047329.66,169034.22,1415987.61,848342.9,128788.29307459177,389138.56568898866,34778
January,rainy,winter,night,manhattan,110485.73,452773.98,90375.46,704949.96,457314.1333333333,206842.52180567547,519263.70834201586,41889
January,rainy,winter,night,not manhattan,88011.2,258690.96,43109.13,343995.3,175310.25,20891.492932927944,89526.62548746422,7789
January,sunny,winter,day,manhattan,3123551.4,14518642.88,2918303.46,22630710.4,16279632.366666667,8827969.834778924,17583423.753848758,1420332
January,sunny,winter,day,not manhattan,1573899.68,4893041.38,801189.58,6687956.12,4067102.1,662862.0261320025,1933622.8640745191,169783
January,sunny,winter,night,manhattan,895863.85,3624388.43,734115.91,5654737.04,3575224.8,1600470.3643995314,4244954.038176149,337395
January,sunny,winter,night,not manhattan,542593.74,1610313.94,259770.59,2147766.23,1066874.7,143854.34255323964,590073.0548475356,52379
February,rainy,winter,day,manhattan,781567.61,3781146.2,767921.95,5856214.18,4486343.45,2441326.6060026195,4488760.320745871,357124
February,rainy,winter,day,not manhattan,381342.82,1201110.76,201740.23,1654099.34,1149341.4333333333,183993.223911482,484276.3100608971,41482
February,rainy,winter,night,manhattan,179379.05,719835.91,146028.71,1114925.05,723844.1666666666,308346.17020954407,811335.8993789585,64156
February,rainy,winter,night,not manhattan,102937.24,307327.3,53912.82,419337.83,223317.1,31003.801953488324,124986.4812121328,10351
February,sunny,winter,day,manhattan,3696833.54,17759880.86,3557598.85,27297826.240000002,21019191.6,11064317.646893552,20299527.835688796,1626142
February,sunny,winter,day,not manhattan,1722175.21,5479478.91,932206.69,7553219.19,5199052.1,844544.7015586613,2228209.239759794,189824
February,sunny,winter,night,manhattan,1218922.33,5041231.51,1031153.88,7812231.74,5232519.766666667,2302769.970298572,5752639.151191324,450551
