pickup_at,weather,season,time,pickup_area,duration
Monday,rainy,fall,day,manhattan,154374
Monday,rainy,fall,day,not manhattan,25724
Monday,rainy,fall,night,manhattan,65335
Monday,rainy,fall,night,not manhattan,17825
Monday,rainy,spring,day,manhattan,121826
Monday,rainy,spring,day,not manhattan,18818
Monday,rainy,spring,night,manhattan,24596
Monday,rainy,spring,night,not manhattan,5952
Monday,rainy,summer,day,manhattan,190926
Monday,rainy,summer,day,not manhattan,31900
Monday,rainy,summer,night,manhattan,14035
Monday,rainy,summer,night,not manhattan,4665
Monday,rainy,winter,day,manhattan,116756
Monday,rainy,winter,day,not manhattan,16322
Monday,rainy,winter,night,manhattan,11551
Monday,rainy,winter,night,not manhattan,3115
Monday,sunny,fall,day,manhattan,721633
Monday,sunny,fall,day,not manhattan,124340
Monday,sunny,fall,night,manhattan,98687
Monday,sunny,fall,night,not manhattan,29253
Monday,sunny,spring,day,manhattan,797273
Monday,sunny,spring,day,not manhattan,124895
Monday,sunny,spring,night,manhattan,136899
Monday,sunny,spring,night,not manhattan,39018
Monday,sunny,summer,day,manhattan,641767
Monday,sunny,summer,day,not manhattan,107776
Monday,sunny,summer,night,manhattan,148251
Monday,sunny,summer,night,not manhattan,39189
Monday,sunny,winter,day,manhattan,690787
Monday,sunny,winter,day,not manhattan,103396
Monday,sunny,winter,night,manhattan,118816
Monday,sunny,winter,night,not manhattan,33384
Tuesday,rainy,fall,day,manhattan,266063
Tuesday,rainy,fall,day,not manhattan,38396
Tuesday,rainy,fall,night,manhattan,43521
Tuesday,rainy,fall,night,not manhattan,10887
Tuesday,rainy,spring,day,manhattan,87746
Tuesday,rainy,spring,day,not manhattan,12323
Tuesday,rainy,spring,night,manhattan,29217
Tuesday,rainy,spring,night,not manhattan,6497
Tuesday,rainy,summer,day,manhattan,110372
Tuesday,rainy,summer,day,not manhattan,17207
Tuesday,rainy,summer,night,manhattan,34016
Tuesday,rainy,summer,night,not manhattan,8413
Tuesday,rainy,winter,day,manhattan,92966
Tuesday,rainy,winter,day,not manhattan,13411
Tuesday,rainy,winter,night,manhattan,24099
Tuesday,rainy,winter,night,not manhattan,5211
Tuesday,sunny,fall,day,manhattan,724849
Tuesday,sunny,fall,day,not manhattan,110420
Tuesday,sunny,fall,night,manhattan,158087
Tuesday,sunny,fall,night,not manhattan,33637
Tuesday,sunny,spring,day,manhattan,1056971
Tuesday,sunny,spring,day,not manhattan,144197
Tuesday,sunny,spring,night,manhattan,188081
Tuesday,sunny,spring,night,not manhattan,40465
Tuesday,sunny,summer,day,manhattan,876003
Tuesday,sunny,summer,day,not manhattan,124924
Tuesday,sunny,summer,night,manhattan,163231
Tuesday,sunny,summer,night,not manhattan,35169
Tuesday,sunny,winter,day,manhattan,731690
Tuesday,sunny,winter,day,not manhattan,91123
Tuesday,sunny,winter,night,manhattan,122318
Tuesday,sunny,winter,night,not manhattan,25064
Wednesday,rainy,fall,day,manhattan,226650
Wednesday,rainy,fall,day,not manhattan,32219
Wednesday,rainy,fall,night,manhattan,17356
