PULocationID,weather,season,time,pickup_area,duration
1,rainy,fall,day,not manhattan,24
1,rainy,fall,night,not manhattan,2
1,rainy,spring,day,not manhattan,22
1,rainy,spring,night,not manhattan,2
1,rainy,summer,day,not manhattan,22
1,rainy,summer,night,not manhattan,2
1,rainy,winter,day,not manhattan,23
1,rainy,winter,night,not manhattan,2
1,sunny,fall,day,not manhattan,83
1,sunny,fall,night,not manhattan,8
1,sunny,spring,day,not manhattan,112
1,sunny,spring,night,not manhattan,12
1,sunny,summer,day,not manhattan,115
1,sunny,summer,night,not manhattan,15
1,sunny,winter,day,not manhattan,44
1,sunny,winter,night,not manhattan,8
2,rainy,summer,day,not manhattan,1
2,rainy,winter,day,not manhattan,1
2,sunny,fall,day,not manhattan,4
2,sunny,spring,day,not manhattan,7
2,sunny,spring,night,not manhattan,2
2,sunny,summer,day,not manhattan,5
2,sunny,summer,night,not manhattan,2
2,sunny,winter,day,not manhattan,5
2,sunny,winter,night,not manhattan,1
3,rainy,fall,day,not manhattan,4
3,rainy,fall,night,not manhattan,1
3,rainy,spring,day,not manhattan,3
3,rainy,spring,night,not manhattan,2
3,rainy,summer,day,not manhattan,1
3,rainy,winter,day,not manhattan,4
3,sunny,fall,day,not manhattan,17
3,sunny,spring,day,not manhattan,12
3,sunny,spring,night,not manhattan,3
3,sunny,summer,day,not manhattan,16
3,sunny,summer,night,not manhattan,3
3,sunny,winter,day,not manhattan,10
4,rainy,fall,day,manhattan,611
4,rainy,fall,night,manhattan,674
4,rainy,spring,day,manhattan,969
4,rainy,spring,night,manhattan,947
4,rainy,summer,day,manhattan,497
4,rainy,summer,night,manhattan,233
4,rainy,winter,day,manhattan,694
4,rainy,winter,night,manhattan,428
4,sunny,fall,day,manhattan,3049
4,sunny,fall,night,manhattan,4704
4,sunny,spring,day,manhattan,3740
4,sunny,spring,night,manhattan,4190
4,sunny,summer,day,manhattan,3233
4,sunny,summer,night,manhattan,4318
4,sunny,winter,day,manhattan,2904
4,sunny,winter,night,manhattan,3748
5,rainy,winter,day,not manhattan,1
5,sunny,fall,night,not manhattan,1
5,sunny,summer,day,not manhattan,2
5,sunny,summer,night,not manhattan,1
6,rainy,fall,day,not manhattan,4
6,rainy,fall,night,not manhattan,2
6,rainy,summer,day,not manhattan,1
6,rainy,winter,day,not manhattan,3
6,rainy,winter,night,not manhattan,1
6,sunny,fall,day,not manhattan,11
6,sunny,fall,night,not manhattan,6
6,sunny,spring,day,not manhattan,2
6,sunny,summer,day,not manhattan,3
6,sunny,summer,night,not manhattan,2
6,sunny,winter,day,not manhattan,2
7,rainy,fall,day,not manhattan,420
7,rainy,fall,night,not manhattan,196
7,rainy,spring,day,not manhattan,672
7,rainy,spring,night,not manhattan,249
7,rainy,summer,day,not manhattan,386
7,rainy,summer,night,not manhattan,92
7,rainy,winter,day,not manhattan,501
7,rainy,winter,night,not manhattan,164
7,sunny,fall,day,not manhattan,2320
7,sunny,fall,night,not manhattan,972
7,sunny,spring,day,not manhattan,2825
7,sunny,spring,night,not manhattan,1156
7,sunny,summer,day,not manhattan,2568
7,sunny,summer,night,not manhattan,1235
7,sunny,winter,day,not manhattan,2422
7,sunny,winter,night,not manhattan,884
8,rainy,fall,day,not manhattan,6
8,rainy,fall,night,not manhattan,4
8,rainy,spring,day,not manhattan,8
8,rainy,spring,night,not manhattan,3
8,rainy,summer,day,not manhattan,6
8,rainy,summer,night,not manhattan,2
8,rainy,winter,day,not manhattan,9
8,rainy,winter,night,not manhattan,2
8,sunny,fall,day,not manhattan,39
8,sunny,fall,night,not manhattan,12
8,sunny,spring,day,not manhattan,39
8,sunny,spring,night,not manhattan,17
8,sunny,summer,day,not manhattan,36
8,sunny,summer,night,not manhattan,13
8,sunny,winter,day,not manhattan,27
8,sunny,winter,night,not manhattan,6
9,rainy,spring,day,not manhattan,2
9,rainy,summer,day,not manhattan,3
